"month_start","hires_rate","quits_rate","layoffs_rate","unemployment_2mo_avg_k","openings_k","vu_ratio"
2022-01-01,4.3,2.9,0.9,6473,11210,1.73
2022-02-01,4.5,2.8,0.9,6428,11698,1.82
2022-03-01,4.4,2.9,0.9,6178,12301,1.99
2022-04-01,4.3,3,0.9,6014,11861,1.97
2022-05-01,4.2,2.8,1,5987,11535,1.93
2022-06-01,4.3,2.7,1,5977,11283,1.89
2022-07-01,4.2,2.6,1,5872.5,11576,1.97
2022-08-01,4.2,2.8,1,5839.5,10092,1.73
2022-09-01,4,2.7,0.9,5828,10800,1.85
2022-10-01,4,2.6,1,5848,10447,1.79
2022-11-01,4,2.6,1,5933.5,10632,1.79
2022-12-01,4,2.7,1,5849.5,10902,1.86
2023-01-01,4.1,2.5,1.1,5775.5,10318,1.79
2023-02-01,3.9,2.5,1,5878.5,9857,1.68
2023-03-01,3.8,2.4,1.2,5923,9655,1.63
2023-04-01,3.8,2.3,1.1,5803,9966,1.72
2023-05-01,3.9,2.6,1,5915.5,9368,1.58
2023-06-01,3.8,2.4,1.1,6034.5,9180,1.52
2023-07-01,3.6,2.3,1.1,5954,8657,1.45
2023-08-01,3.7,2.3,1.1,6099,9254,1.52
2023-09-01,3.7,2.3,1,6274.5,9259,1.48
2023-10-01,3.7,2.3,1,6368.5,8580,1.35
2023-11-01,3.5,2.3,1,6344.5,8602,1.36
2023-12-01,3.6,2.2,1.1,6277.5,8520,1.36
2024-01-01,3.6,2.1,1,6252,8378,1.34
2024-02-01,3.6,2.2,1.1,6330.5,8440,1.33
2024-03-01,3.5,2.1,1,6503.5,8206,1.26
2024-04-01,3.5,2.2,1,6503.5,7529,1.16
2024-05-01,3.5,2.1,1.1,6556.5,7782,1.19
2024-06-01,3.3,2.1,0.9,6754,7416,1.1
2024-07-01,3.4,2.1,1.1,6989.5,7426,1.06
2024-08-01,3.3,2.1,1.1,7080.5,7520,1.06
2024-09-01,3.4,2,1.1,6956,6943,1
2024-10-01,3.3,2,1,6900,7379,1.07
2024-11-01,3.3,1.9,1.2,7020,7566,1.08
2024-12-01,3.3,1.9,1.1,7004.5,7295,1.04
2025-01-01,3.3,2,1.1,6892.5,7431,1.08
2025-02-01,3.3,2,1.2,6984.5,7242,1.04
2025-03-01,3.4,2.2,1,7118,6952,0.98
2025-04-01,3.4,2,1.1,7143.5,7098,0.99
2025-05-01,3.4,2.1,1.1,7201.5,7310,1.02
2025-06-01,3.4,2.1,1.2,7151,7204,1.01
2025-07-01,3.3,2,1.1,7163,7089,0.99
2025-08-01,3.2,2,1.2,7326,6919,0.94
2025-09-01,3.3,1.9,1.1,7492.5,7169,0.96
2025-10-01,3.3,1.9,1.2,NA,NA,NA
2025-11-01,3.2,2,1,NA,NA,NA
2025-12-01,3.3,2,1.1,NA,NA,NA
2026-01-01,3.4,2,1,NA,NA,NA
2026-02-01,3.1,1.9,1.1,NA,NA,NA
2026-03-01,3.5,2,1.2,NA,NA,NA
2026-04-01,3.2,1.9,1.1,NA,NA,NA
