company,ticker,cik,fiscal_year,revenue_m,operating_income_m,net_income_m,operating_margin_pct,net_margin_pct,revenue_yoy_pct,revenue_cagr_22_24_pct
Disney,DIS,0001744489,2022,82722.0,6770.0,3150.0,8.2,3.8,,5.1
Disney,DIS,0001744489,2023,88900.0,8990.0,2350.0,10.1,2.6,7.5,5.1
Disney,DIS,0001744489,2024,91360.0,11910.0,4970.0,13.0,5.4,2.8,5.1
Netflix,NFLX,0001065280,2022,31615.55,5632.831,4491.924,17.8,14.2,,11.1
Netflix,NFLX,0001065280,2023,33723.297,6954.003,5407.99,20.6,16.0,6.7,11.1
Netflix,NFLX,0001065280,2024,39000.966,10417.614,8711.631,26.7,22.3,15.6,11.1
Paramount Global,PARA,0000813828,2022,30154.0,2342.0,725.0,7.8,2.4,,-1.6
Paramount Global,PARA,0000813828,2023,29652.0,-451.0,-608.0,-1.5,-2.1,-1.7,-1.6
Paramount Global,PARA,0000813828,2024,29213.0,-5269.0,-6190.0,-18.0,-21.2,-1.5,-1.6
Warner Bros. Discovery,WBD,0001437107,2022,33817.0,-7370.0,-7371.0,-21.8,-21.8,,7.8
Warner Bros. Discovery,WBD,0001437107,2023,41321.0,-1548.0,-3126.0,-3.7,-7.6,22.2,7.8
Warner Bros. Discovery,WBD,0001437107,2024,39321.0,-10032.0,-11311.0,-25.5,-28.8,-4.8,7.8
